formula,element1,n1,element2,n2,element3,n3,crystalsystem,spacegroup,bandgap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr8Co8O23,Sr,8,Co,8,O,23,tetragonal,139,0,245305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2CoO4,Sr,2,Co,1,O,4,tetragonal,139,0,246483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2Co2O5,Sr,4,Co,4,O,10,orthorhombic,46,0,162240,162241,173696,173697,173695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCo12O19,Sr,2,Co,24,O,38,hexagonal,194,0,245874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCoO3,Sr,4,Co,4,O,12,triclinic,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr3Co3O8,Sr,6,Co,6,O,16,monoclinic,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr3(CoO3)2,Sr,9,Co,6,O,18,orthorhombic,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrNiO3,Ni,1,O,3,Sr,1,cubic,221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2Cu3O5,Sr,2,O,5,Cu,3,orthorhombic,71,0,416904,416905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2Cu2O3,Sr,4,O,6,Cu,4,orthorhombic,69,0,150912,68676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCuO2,Sr,2,O,4,Cu,2,orthorhombic,63,0,77291,83051,77293,202992,93653,16217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2Cu2O5,Sr,4,O,10,Cu,4,orthorhombic,55,0,82019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCu2O3,Sr,2,O,6,Cu,4,orthorhombic,59,0,99042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCuO3,Sr,6,O,18,Cu,6,orthorhombic,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr2CuO4,Sr,2,O,4,Cu,1,tetragonal,139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr8Cu8O17,Sr,8,O,17,Cu,8,monoclinic,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCu2O3,Sr,1,O,3,Cu,2,orthorhombic,65,0,99041,416902,416903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SrCu2O3,Sr,2,O,6,Cu,4,orthorhombic,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaV6O11,Ba,2,O,22,V,12,hexagonal,194,0,260348,416459,416460,260342,260343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba8V7O22,Ba,8,O,22,V,7,trigonal,166,0,78035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaVO3,Ba,5,O,15,V,5,trigonal,164,0,78168,78167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaV8O16,Ba,1,O,16,V,8,triclinic,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba3Cr2O8,Cr,2,Ba,3,O,8,trigonal,166,0,9457,159409,240951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BaCrO3,Cr,14,Ba,14,O,42,hexagonal,194,0,32524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
